B1 h	NA
Ndufa13	GO:0008137~NADH dehydrogenase (ubiquinone) activity
Ndufa13	GO:0016651~oxidoreductase activity, acting on NADH or NADPH
2210016L21Rik	NA
Hypk,Serf2	NA
Rprml	NA
Erh	NA
Hist1h4d	GO:0003677~DNA binding
Gm16286,Txnl4a	NA
Tceb1	NA
Ensa	GO:0016248~channel inhibitor activity
Ensa	GO:0019870~potassium channel inhibitor activity
Ensa	GO:0008200~ion channel inhibitor activity
Ensa	GO:0015459~potassium channel regulator activity
Ensa	GO:0016247~channel regulator activity
Selk	GO:0008430~selenium binding
Fkbp2	GO:0016859~cis-trans isomerase activity
Fkbp2	GO:0003755~peptidyl-prolyl cis-trans isomerase activity
Pkig	GO:0030291~protein serine/threonine kinase inhibitor activity
Pkig	GO:0004857~enzyme inhibitor activity
Pkig	GO:0004862~cAMP-dependent protein kinase inhibitor activity
Pkig	GO:0019887~protein kinase regulator activity
Pkig	GO:0019207~kinase regulator activity
Pkig	GO:0019210~kinase inhibitor activity
Pkig	GO:0004860~protein kinase inhibitor activity
Selm	GO:0008430~selenium binding
Gm20683,Rhbdl1,Rhot2,Stub1,Wdr90	NA
Tmem160	NA
Gm20431,Tmem189,Ube2v1	NA
Dlx6os1	NA
Lamtor2	NA
Pfdn2	GO:0051082~unfolded protein binding
Pdlim7	GO:0008270~zinc ion binding
Pdlim7	GO:0043169~cation binding
Pdlim7	GO:0046872~metal ion binding
Pdlim7	GO:0046914~transition metal ion binding
Pdlim7	GO:0043167~ion binding
Cystm1	NA
Sec11c	GO:0008236~serine-type peptidase activity
Sec11c	GO:0070011~peptidase activity, acting on L-amino acid peptides
Sec11c	GO:0017171~serine hydrolase activity
Sec11c	GO:0008233~peptidase activity
Atraid	NA
Tax1bp1	GO:0046914~transition metal ion binding
Tax1bp1	GO:0008270~zinc ion binding
Tax1bp1	GO:0043169~cation binding
Tax1bp1	GO:0043167~ion binding
Tax1bp1	GO:0046872~metal ion binding
Mrpl54	NA
Kbtbd11	NA
1500011B03Rik,2610524H06Rik,Gm20499	NA
Dynlt3	GO:0003774~motor activity
Ccdc55	NA
Cbx5	GO:0003682~chromatin binding
Cbx5	GO:0030528~transcription regulator activity
Cbx5	GO:0070491~transcription repressor binding
Cbx5	GO:0030674~protein binding, bridging
Cbx5	GO:0016564~transcription repressor activity
Anp32a	NA
Ccdc12	NA
Ccdc107	NA
Ttc9b	NA
Rbm39	GO:0003723~RNA binding
Rbm39	GO:0003713~transcription coactivator activity
Rbm39	GO:0008134~transcription factor binding
Rbm39	GO:0016563~transcription activator activity
Rbm39	GO:0003712~transcription cofactor activity
Rbm39	GO:0000166~nucleotide binding
Rbm39	GO:0030528~transcription regulator activity
Hp1bp3	GO:0003677~DNA binding
40800	NA
Mrpl28	GO:0030528~transcription regulator activity
Mrpl28	GO:0003700~transcription factor activity
Mrpl28	GO:0003677~DNA binding
Lrpap1	GO:0070325~lipoprotein receptor binding
Lrpap1	GO:0005539~glycosaminoglycan binding
Lrpap1	GO:0030246~carbohydrate binding
Lrpap1	GO:0030247~polysaccharide binding
Lrpap1	GO:0008201~heparin binding
Lrpap1	GO:0050750~low-density lipoprotein receptor binding
Lrpap1	GO:0001871~pattern binding
Stoml2	NA
Dohh	GO:0043169~cation binding
Dohh	GO:0043167~ion binding
Dohh	GO:0046872~metal ion binding
Dohh	GO:0019135~deoxyhypusine monooxygenase activity
Dohh	GO:0005506~iron ion binding
Dohh	GO:0046914~transition metal ion binding
Pnkd	GO:0046872~metal ion binding
Pnkd	GO:0043167~ion binding
Pnkd	GO:0046914~transition metal ion binding
Pnkd	GO:0016790~thiolester hydrolase activity
Pnkd	GO:0004416~hydroxyacylglutathione hydrolase activity
Pnkd	GO:0008270~zinc ion binding
Pnkd	GO:0043169~cation binding
Ip6k2	GO:0004428~inositol or phosphatidylinositol kinase activity
Ip6k2	GO:0005524~ATP binding
Ip6k2	GO:0017076~purine nucleotide binding
Ip6k2	GO:0001883~purine nucleoside binding
Ip6k2	GO:0008440~inositol trisphosphate 3-kinase activity
Ip6k2	GO:0030554~adenyl nucleotide binding
Ip6k2	GO:0032559~adenyl ribonucleotide binding
Ip6k2	GO:0000166~nucleotide binding
Ip6k2	GO:0051766~inositol trisphosphate kinase activity
Ip6k2	GO:0001882~nucleoside binding
Ip6k2	GO:0032555~purine ribonucleotide binding
Ip6k2	GO:0032553~ribonucleotide binding
Pnmal2	NA
Bax	GO:0042803~protein homodimerization activity
Bax	GO:0070513~death domain binding
Bax	GO:0046983~protein dimerization activity
Bax	GO:0051400~BH domain binding
Bax	GO:0046982~protein heterodimerization activity
Bax	GO:0051434~BH3 domain binding
Bax	GO:0019904~protein domain specific binding
Bax	GO:0042802~identical protein binding
Ufm1	NA
Arpp21	NA
Rrp7a	GO:0003723~RNA binding
Nipsnap1	NA
Rasl10a	GO:0032553~ribonucleotide binding
Rasl10a	GO:0032561~guanyl ribonucleotide binding
Rasl10a	GO:0019001~guanyl nucleotide binding
Rasl10a	GO:0000166~nucleotide binding
Rasl10a	GO:0005525~GTP binding
Rasl10a	GO:0032555~purine ribonucleotide binding
Rasl10a	GO:0017076~purine nucleotide binding
Nat14	GO:0016410~N-acyltransferase activity
Nat14	GO:0003677~DNA binding
Nat14	GO:0016407~acetyltransferase activity
Nat14	GO:0008080~N-acetyltransferase activity
Mrps26	NA
Kif1a	GO:0030554~adenyl nucleotide binding
Kif1a	GO:0005524~ATP binding
Kif1a	GO:0001882~nucleoside binding
Kif1a	GO:0000166~nucleotide binding
Kif1a	GO:0001883~purine nucleoside binding
Kif1a	GO:0032555~purine ribonucleotide binding
Kif1a	GO:0003774~motor activity
Kif1a	GO:0032559~adenyl ribonucleotide binding
Kif1a	GO:0032553~ribonucleotide binding
Kif1a	GO:0003777~microtubule motor activity
Kif1a	GO:0017076~purine nucleotide binding
Zfr	GO:0046872~metal ion binding
Zfr	GO:0008270~zinc ion binding
Zfr	GO:0043167~ion binding
Zfr	GO:0003723~RNA binding
Zfr	GO:0003677~DNA binding
Zfr	GO:0046914~transition metal ion binding
Zfr	GO:0043169~cation binding
Ddx23	NA
Gfra4	GO:0015026~coreceptor activity
Thoc3	GO:0003723~RNA binding
Timm22	GO:0008565~protein transporter activity
Elovl1,Med8	NA
Arl6ip4	NA
Arhgdig,Pdia2	NA
A430005L14Rik	NA
Snx10	GO:0005543~phospholipid binding
Snx10	GO:0035091~phosphoinositide binding
Snx10	GO:0008289~lipid binding
Dgcr6	NA
Commd9	NA
Ncl	GO:0043565~sequence-specific DNA binding
Ncl	GO:0000166~nucleotide binding
Ncl	GO:0003677~DNA binding
Ncl	GO:0003723~RNA binding
Ncl	GO:0042162~telomeric DNA binding
Sirt3	GO:0043169~cation binding
Sirt3	GO:0046872~metal ion binding
Sirt3	GO:0051287~NAD or NADH binding
Sirt3	GO:0070403~NAD binding
Sirt3	GO:0000166~nucleotide binding
Sirt3	GO:0048037~cofactor binding
Sirt3	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
Sirt3	GO:0043167~ion binding
Sirt3	GO:0008270~zinc ion binding
Sirt3	GO:0046914~transition metal ion binding
Sirt3	GO:0050662~coenzyme binding
Fgfr1op2	NA
Snrnp25	NA
Gas7	GO:0008092~cytoskeletal protein binding
Gas7	GO:0003779~actin binding
Gas7	GO:0051015~actin filament binding
Lsm10	GO:0003723~RNA binding
Lsm10	GO:0017069~snRNA binding
2700089E24Rik	NA
H2afj	GO:0003677~DNA binding
Arl16	GO:0019001~guanyl nucleotide binding
Arl16	GO:0032561~guanyl ribonucleotide binding
Arl16	GO:0017076~purine nucleotide binding
Arl16	GO:0000166~nucleotide binding
Arl16	GO:0032553~ribonucleotide binding
Arl16	GO:0005525~GTP binding
Arl16	GO:0032555~purine ribonucleotide binding
Srrm3	NA
Ttc33	NA
Atp6v0a1	GO:0030528~transcription regulator activity
Atp6v0a1	GO:0008134~transcription factor binding
Atp6v0a1	GO:0003713~transcription coactivator activity
Atp6v0a1	GO:0015078~hydrogen ion transmembrane transporter activity
Atp6v0a1	GO:0035257~nuclear hormone receptor binding
Atp6v0a1	GO:0022890~inorganic cation transmembrane transporter activity
Atp6v0a1	GO:0003682~chromatin binding
Atp6v0a1	GO:0051427~hormone receptor binding
Atp6v0a1	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Atp6v0a1	GO:0016563~transcription activator activity
Atp6v0a1	GO:0003712~transcription cofactor activity
Atp6v0a1	GO:0046966~thyroid hormone receptor binding
Ttc1	NA
Fam213a	NA
Ralgps2	GO:0060589~nucleoside-triphosphatase regulator activity
Ralgps2	GO:0030695~GTPase regulator activity
Ralgps2	GO:0005085~guanyl-nucleotide exchange factor activity
Slc25a39	NA
Sel1l	NA
Ergic2	NA
Fam163b	NA
Fbxo9	NA
Ramp1	GO:0015026~coreceptor activity
Ramp1	GO:0008565~protein transporter activity
Ssbp4	GO:0003677~DNA binding
Ssbp4	GO:0043566~structure-specific DNA binding
Ssbp4	GO:0030528~transcription regulator activity
Ssbp4	GO:0003697~single-stranded DNA binding
Parl	GO:0008233~peptidase activity
Parl	GO:0008236~serine-type peptidase activity
Parl	GO:0017171~serine hydrolase activity
Parl	GO:0070011~peptidase activity, acting on L-amino acid peptides
Scn2b	GO:0031420~alkali metal ion binding
Scn2b	GO:0022836~gated channel activity
Scn2b	GO:0043167~ion binding
Scn2b	GO:0022832~voltage-gated channel activity
Scn2b	GO:0005244~voltage-gated ion channel activity
Scn2b	GO:0022838~substrate specific channel activity
Scn2b	GO:0005261~cation channel activity
Scn2b	GO:0005272~sodium channel activity
Scn2b	GO:0046873~metal ion transmembrane transporter activity
Scn2b	GO:0005216~ion channel activity
Scn2b	GO:0005248~voltage-gated sodium channel activity
Scn2b	GO:0022803~passive transmembrane transporter activity
Scn2b	GO:0046872~metal ion binding
Scn2b	GO:0031402~sodium ion binding
Scn2b	GO:0015267~channel activity
Scn2b	GO:0043169~cation binding
Scn2b	GO:0022843~voltage-gated cation channel activity
Bad	NA
Ninj1	NA
1700037H04Rik	NA
Bpnt1	GO:0031420~alkali metal ion binding
Bpnt1	GO:0004437~inositol or phosphatidylinositol phosphatase activity
Bpnt1	GO:0008252~nucleotidase activity
Bpnt1	GO:0046872~metal ion binding
Bpnt1	GO:0008441~3'(2'),5'-bisphosphate nucleotidase activity
Bpnt1	GO:0043169~cation binding
Bpnt1	GO:0016791~phosphatase activity
Bpnt1	GO:0043167~ion binding
Bpnt1	GO:0031403~lithium ion binding
Bpnt1	GO:0000287~magnesium ion binding
Acin1	GO:0000166~nucleotide binding
Flywch2	NA
Ifngr2	NA
Bloc1s4	NA
Stau2	GO:0003725~double-stranded RNA binding
Stau2	GO:0003723~RNA binding
Pin1	GO:0016859~cis-trans isomerase activity
Pin1	GO:0003755~peptidyl-prolyl cis-trans isomerase activity
1810043G02Rik	NA
Zmat5	GO:0046872~metal ion binding
Zmat5	GO:0043169~cation binding
Zmat5	GO:0008270~zinc ion binding
Zmat5	GO:0046914~transition metal ion binding
Zmat5	GO:0043167~ion binding
Caprin1	NA
Fam81a	NA
Tmed10	NA
Tssc4	NA
Actr6	NA
Uchl5	GO:0008233~peptidase activity
Uchl5	GO:0070011~peptidase activity, acting on L-amino acid peptides
Uchl5	GO:0004221~ubiquitin thiolesterase activity
Uchl5	GO:0016790~thiolester hydrolase activity
Uchl5	GO:0008234~cysteine-type peptidase activity
A930005H10Rik	NA
Crcp	GO:0034062~RNA polymerase activity
Crcp	GO:0000166~nucleotide binding
Crcp	GO:0003899~DNA-directed RNA polymerase activity
Crcp	GO:0016779~nucleotidyltransferase activity
Podxl2	NA
Orc2	NA
Gadd45g	NA
Tfdp2	GO:0003700~transcription factor activity
Tfdp2	GO:0030528~transcription regulator activity
Tfdp2	GO:0003677~DNA binding
Wdr75	NA
Tpd52	GO:0046872~metal ion binding
Tpd52	GO:0046982~protein heterodimerization activity
Tpd52	GO:0043169~cation binding
Tpd52	GO:0046983~protein dimerization activity
Tpd52	GO:0042803~protein homodimerization activity
Tpd52	GO:0042802~identical protein binding
Tpd52	GO:0043167~ion binding
Tpd52	GO:0005509~calcium ion binding
Ak2	GO:0019201~nucleotide kinase activity
Ak2	GO:0005524~ATP binding
Ak2	GO:0019205~nucleobase, nucleoside, nucleotide kinase activity
Ak2	GO:0016776~phosphotransferase activity, phosphate group as acceptor
Ak2	GO:0000166~nucleotide binding
Ak2	GO:0001883~purine nucleoside binding
Ak2	GO:0030554~adenyl nucleotide binding
Ak2	GO:0032553~ribonucleotide binding
Ak2	GO:0004017~adenylate kinase activity
Ak2	GO:0001882~nucleoside binding
Ak2	GO:0032555~purine ribonucleotide binding
Ak2	GO:0017076~purine nucleotide binding
Ak2	GO:0032559~adenyl ribonucleotide binding
Cdpf1	NA
Gm6377,Sh3bgrl	NA
Sac3d1	NA
Pdrg1	GO:0051082~unfolded protein binding
Serpina3k,Serpina3m,Serpina3n	NA
Dusp28	GO:0008138~protein tyrosine/serine/threonine phosphatase activity
Dusp28	GO:0004725~protein tyrosine phosphatase activity
Dusp28	GO:0004721~phosphoprotein phosphatase activity
Dusp28	GO:0016791~phosphatase activity
Fyttd1	NA
Stra13	GO:0003677~DNA binding
Tor2a	GO:0030554~adenyl nucleotide binding
Tor2a	GO:0005524~ATP binding
Tor2a	GO:0001883~purine nucleoside binding
Tor2a	GO:0017076~purine nucleotide binding
Tor2a	GO:0005179~hormone activity
Tor2a	GO:0032553~ribonucleotide binding
Tor2a	GO:0032559~adenyl ribonucleotide binding
Tor2a	GO:0032555~purine ribonucleotide binding
Tor2a	GO:0000166~nucleotide binding
Tor2a	GO:0001882~nucleoside binding
Hist2h2ac	GO:0003677~DNA binding
Nosip	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Nosip	GO:0004842~ubiquitin-protein ligase activity
Nosip	GO:0016881~acid-amino acid ligase activity
Nosip	GO:0019787~small conjugating protein ligase activity
Zfp688	GO:0046914~transition metal ion binding
Zfp688	GO:0008270~zinc ion binding
Zfp688	GO:0043169~cation binding
Zfp688	GO:0043167~ion binding
Zfp688	GO:0046872~metal ion binding
Safb2	GO:0000166~nucleotide binding
Safb2	GO:0003677~DNA binding
Safb2	GO:0003723~RNA binding
Chmp6	NA
Rrm2b	GO:0005506~iron ion binding
Rrm2b	GO:0016725~oxidoreductase activity, acting on CH or CH2 groups
Rrm2b	GO:0046872~metal ion binding
Rrm2b	GO:0004748~ribonucleoside-diphosphate reductase activity
Rrm2b	GO:0043169~cation binding
Rrm2b	GO:0016728~oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
Rrm2b	GO:0046914~transition metal ion binding
Rrm2b	GO:0043167~ion binding
Elmod1	NA
Tnik	GO:0005524~ATP binding
Tnik	GO:0030695~GTPase regulator activity
Tnik	GO:0001883~purine nucleoside binding
Tnik	GO:0004672~protein kinase activity
Tnik	GO:0004674~protein serine/threonine kinase activity
Tnik	GO:0001882~nucleoside binding
Tnik	GO:0030554~adenyl nucleotide binding
Tnik	GO:0017076~purine nucleotide binding
Tnik	GO:0000166~nucleotide binding
Tnik	GO:0005083~small GTPase regulator activity
Tnik	GO:0032555~purine ribonucleotide binding
Tnik	GO:0032559~adenyl ribonucleotide binding
Tnik	GO:0060589~nucleoside-triphosphatase regulator activity
Tnik	GO:0032553~ribonucleotide binding
Cops2	GO:0003714~transcription corepressor activity
Cops2	GO:0030528~transcription regulator activity
Cops2	GO:0016564~transcription repressor activity
Cops2	GO:0008134~transcription factor binding
Cops2	GO:0003712~transcription cofactor activity
Hes6	GO:0003677~DNA binding
Hes6	GO:0003700~transcription factor activity
Hes6	GO:0008134~transcription factor binding
Hes6	GO:0003712~transcription cofactor activity
Hes6	GO:0030528~transcription regulator activity
Nudt16	GO:0003723~RNA binding
Nudt16	GO:0043169~cation binding
Nudt16	GO:0043167~ion binding
Nudt16	GO:0046914~transition metal ion binding
Nudt16	GO:0000287~magnesium ion binding
Nudt16	GO:0030145~manganese ion binding
Nudt16	GO:0046872~metal ion binding
Dnajc17	GO:0051082~unfolded protein binding
Dnajc17	GO:0003723~RNA binding
Dnajc17	GO:0031072~heat shock protein binding
Fam104a	NA
Trappc6a	NA
Gtpbp6	GO:0032561~guanyl ribonucleotide binding
Gtpbp6	GO:0019001~guanyl nucleotide binding
Gtpbp6	GO:0005525~GTP binding
Gtpbp6	GO:0017076~purine nucleotide binding
Gtpbp6	GO:0032555~purine ribonucleotide binding
Gtpbp6	GO:0032553~ribonucleotide binding
Gtpbp6	GO:0000166~nucleotide binding
Eea1	GO:0035091~phosphoinositide binding
Eea1	GO:0005543~phospholipid binding
Eea1	GO:0008289~lipid binding
Eea1	GO:0043167~ion binding
Eea1	GO:0046914~transition metal ion binding
Eea1	GO:0043169~cation binding
Eea1	GO:0046872~metal ion binding
Eea1	GO:0008270~zinc ion binding
Eea1	GO:0005545~phosphatidylinositol binding
Mpv17l	NA
Brd8	NA
Angptl6	NA
Zfp667	GO:0046872~metal ion binding
Zfp667	GO:0043167~ion binding
Zfp667	GO:0043169~cation binding
Zfp667	GO:0003677~DNA binding
Zfp667	GO:0046914~transition metal ion binding
Zfp667	GO:0008270~zinc ion binding
A830018L16Rik	NA
Zfp239	GO:0008270~zinc ion binding
Zfp239	GO:0046872~metal ion binding
Zfp239	GO:0046914~transition metal ion binding
Zfp239	GO:0003677~DNA binding
Zfp239	GO:0043167~ion binding
Zfp239	GO:0043169~cation binding
Csnk2a1	GO:0001883~purine nucleoside binding
Csnk2a1	GO:0032553~ribonucleotide binding
Csnk2a1	GO:0004674~protein serine/threonine kinase activity
Csnk2a1	GO:0019208~phosphatase regulator activity
Csnk2a1	GO:0005524~ATP binding
Csnk2a1	GO:0032559~adenyl ribonucleotide binding
Csnk2a1	GO:0008013~beta-catenin binding
Csnk2a1	GO:0017076~purine nucleotide binding
Csnk2a1	GO:0019888~protein phosphatase regulator activity
Csnk2a1	GO:0004672~protein kinase activity
Csnk2a1	GO:0001882~nucleoside binding
Csnk2a1	GO:0032555~purine ribonucleotide binding
Csnk2a1	GO:0000166~nucleotide binding
Csnk2a1	GO:0030554~adenyl nucleotide binding
Fscn1	GO:0051015~actin filament binding
Fscn1	GO:0030674~protein binding, bridging
Fscn1	GO:0008092~cytoskeletal protein binding
Fscn1	GO:0003779~actin binding
Dusp26	GO:0016791~phosphatase activity
Dusp26	GO:0004725~protein tyrosine phosphatase activity
Dusp26	GO:0008138~protein tyrosine/serine/threonine phosphatase activity
Dusp26	GO:0004721~phosphoprotein phosphatase activity
Atg14	NA
Hist1h1e	GO:0003677~DNA binding
Sncb	NA
Gzf1	GO:0046872~metal ion binding
Gzf1	GO:0043169~cation binding
Gzf1	GO:0008270~zinc ion binding
Gzf1	GO:0046914~transition metal ion binding
Gzf1	GO:0043167~ion binding
Oaz1-ps	NA
40602	NA
Gpcpd1	GO:0008081~phosphoric diester hydrolase activity
Gpcpd1	GO:0030246~carbohydrate binding
Gpcpd1	GO:0008889~glycerophosphodiester phosphodiesterase activity
Nelfe	NA
Golga7b	NA
Tmem109	NA
Cdc37l1	NA
Ckap5	GO:0008017~microtubule binding
Ckap5	GO:0008092~cytoskeletal protein binding
Ckap5	GO:0043021~ribonucleoprotein binding
Ckap5	GO:0015631~tubulin binding
Cnot4	GO:0046914~transition metal ion binding
Cnot4	GO:0043167~ion binding
Cnot4	GO:0003723~RNA binding
Cnot4	GO:0008270~zinc ion binding
Cnot4	GO:0000166~nucleotide binding
Cnot4	GO:0046872~metal ion binding
Cnot4	GO:0043169~cation binding
Rita1	NA
Lyst	NA
Msantd3	NA
Thrsp	NA
Trim37	GO:0043167~ion binding
Trim37	GO:0008270~zinc ion binding
Trim37	GO:0046914~transition metal ion binding
Trim37	GO:0043169~cation binding
Trim37	GO:0046872~metal ion binding
Mturn	NA
Pik3ip1	NA
Luc7l	GO:0050733~RS domain binding
Luc7l	GO:0043167~ion binding
Luc7l	GO:0046914~transition metal ion binding
Luc7l	GO:0019904~protein domain specific binding
Luc7l	GO:0043169~cation binding
Luc7l	GO:0046872~metal ion binding
Luc7l	GO:0008270~zinc ion binding
5730455P16Rik	NA
Prpf40b	NA
Prdm2	GO:0046872~metal ion binding
Prdm2	GO:0003677~DNA binding
Prdm2	GO:0043169~cation binding
Prdm2	GO:0030528~transcription regulator activity
Prdm2	GO:0008270~zinc ion binding
Prdm2	GO:0046914~transition metal ion binding
Prdm2	GO:0043167~ion binding
Slc4a3	GO:0015301~anion:anion antiporter activity
Slc4a3	GO:0015300~solute:solute antiporter activity
Slc4a3	GO:0015297~antiporter activity
Slc4a3	GO:0008509~anion transmembrane transporter activity
Snrnp70	GO:0003723~RNA binding
Snrnp70	GO:0000166~nucleotide binding
Tiam1	GO:0030695~GTPase regulator activity
Tiam1	GO:0046875~ephrin receptor binding
Tiam1	GO:0008289~lipid binding
Tiam1	GO:0005085~guanyl-nucleotide exchange factor activity
Tiam1	GO:0060589~nucleoside-triphosphatase regulator activity
Tiam1	GO:0005543~phospholipid binding
Tiam1	GO:0005088~Ras guanyl-nucleotide exchange factor activity
Tiam1	GO:0005083~small GTPase regulator activity
Tiam1	GO:0005089~Rho guanyl-nucleotide exchange factor activity
Cbx1	GO:0016564~transcription repressor activity
Cbx1	GO:0030528~transcription regulator activity
Cbx1	GO:0003682~chromatin binding
Cbx1	GO:0042802~identical protein binding
Appl1	NA
Suv420h1	GO:0016278~lysine N-methyltransferase activity
Suv420h1	GO:0008170~N-methyltransferase activity
Suv420h1	GO:0018024~histone-lysine N-methyltransferase activity
Suv420h1	GO:0042054~histone methyltransferase activity
Suv420h1	GO:0008276~protein methyltransferase activity
Suv420h1	GO:0016279~protein-lysine N-methyltransferase activity
Suv420h1	GO:0042799~histone methyltransferase activity (H4-K20 specific)
Gm9866	NA
Cwc25	NA
Ppp1r12b	NA
Rad23b	GO:0003677~DNA binding
Rad23b	GO:0003684~damaged DNA binding
Zfp940	NA
Sgtb	GO:0042803~protein homodimerization activity
Sgtb	GO:0046982~protein heterodimerization activity
Sgtb	GO:0042802~identical protein binding
Sgtb	GO:0046983~protein dimerization activity
Atad3a	GO:0001883~purine nucleoside binding
Atad3a	GO:0000166~nucleotide binding
Atad3a	GO:0001882~nucleoside binding
Atad3a	GO:0030554~adenyl nucleotide binding
Atad3a	GO:0017076~purine nucleotide binding
Atad3a	GO:0032553~ribonucleotide binding
Atad3a	GO:0005524~ATP binding
Atad3a	GO:0032559~adenyl ribonucleotide binding
Atad3a	GO:0032555~purine ribonucleotide binding
Mdm4	GO:0046914~transition metal ion binding
Mdm4	GO:0046872~metal ion binding
Mdm4	GO:0043169~cation binding
Mdm4	GO:0043167~ion binding
Mdm4	GO:0008270~zinc ion binding
Adam22	GO:0046872~metal ion binding
Adam22	GO:0070011~peptidase activity, acting on L-amino acid peptides
Adam22	GO:0043169~cation binding
Adam22	GO:0043167~ion binding
Adam22	GO:0008237~metallopeptidase activity
Adam22	GO:0008270~zinc ion binding
Adam22	GO:0046914~transition metal ion binding
Adam22	GO:0004222~metalloendopeptidase activity
Adam22	GO:0004175~endopeptidase activity
Adam22	GO:0008233~peptidase activity
4632415L05Rik	NA
Aff4	NA
Ppp1r8	GO:0008599~protein phosphatase type 1 regulator activity
Ppp1r8	GO:0019208~phosphatase regulator activity
Ppp1r8	GO:0003677~DNA binding
Ppp1r8	GO:0004857~enzyme inhibitor activity
Ppp1r8	GO:0019212~phosphatase inhibitor activity
Ppp1r8	GO:0003723~RNA binding
Ppp1r8	GO:0019888~protein phosphatase regulator activity
Ppp1r8	GO:0004864~phosphoprotein phosphatase inhibitor activity
Nr1h2	GO:0043565~sequence-specific DNA binding
Nr1h2	GO:0008134~transcription factor binding
Nr1h2	GO:0008270~zinc ion binding
Nr1h2	GO:0003677~DNA binding
Nr1h2	GO:0043167~ion binding
Nr1h2	GO:0046914~transition metal ion binding
Nr1h2	GO:0046872~metal ion binding
Nr1h2	GO:0043169~cation binding
Nr1h2	GO:0051427~hormone receptor binding
Nr1h2	GO:0003700~transcription factor activity
Nr1h2	GO:0035257~nuclear hormone receptor binding
Nr1h2	GO:0003707~steroid hormone receptor activity
Nr1h2	GO:0042974~retinoic acid receptor binding
Nr1h2	GO:0004879~ligand-dependent nuclear receptor activity
Nr1h2	GO:0030528~transcription regulator activity
Nr1h2	GO:0046965~retinoid X receptor binding
Rnf168	GO:0046914~transition metal ion binding
Rnf168	GO:0042393~histone binding
